id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,delta_points
43927,63,Ecuador,ECU,1368,10705020,0,CONMEBOL,2019-10-24,-10703652
43968,65,Slovenia,SVN,1367,10705020,0,UEFA,2019-10-24,-10703653
43932,65,Albania,ALB,1367,10705020,0,UEFA,2019-10-24,-10703653
43840,67,United Arab Emirates,UAE,1353,10705020,0,AFC,2019-10-24,-10703667
44000,68,North Macedonia,MKD,1344,10705020,0,UEFA,2019-10-24,-10703676
43899,69,Canada,CAN,1339,10705020,0,CONCACAF,2019-10-24,-10703681
43835,69,Saudi Arabia,KSA,1339,10705020,0,AFC,2019-10-24,-10703681
43812,69,China PR,CHN,1339,10705020,0,AFC,2019-10-24,-10703681
43883,72,South Africa,RSA,1337,10705020,0,CAF,2019-10-24,-10703683
43904,73,El Salvador,SLV,1336,10705020,0,CONCACAF,2019-10-24,-10703684
43818,74,Iraq,IRQ,1327,10705020,0,AFC,2019-10-24,-10703693
43923,75,Bolivia,BOL,1324,10705020,0,CONMEBOL,2019-10-24,-10703696
1930407,76,Curacao,CUW,1323,10705020,0,CONCACAF,2019-10-24,-10703697
43850,77,Cape Verde Islands,CPV,1319,10705020,0,CAF,2019-10-24,-10703701
43861,78,Guinea,GUI,1317,10705020,0,CAF,2019-10-24,-10703703
43889,79,Uganda,UGA,1311,10705020,0,CAF,2019-10-24,-10703709
43914,80,Panama,PAN,1310,10705020,0,CONCACAF,2019-10-24,-10703710
43891,81,Zambia,ZAM,1299,10705020,0,CAF,2019-10-24,-10703721
43845,82,Benin,BEN,1293,10705020,0,CAF,2019-10-24,-10703727
43838,83,Syria,SYR,1292,10705020,0,AFC,2019-10-24,-10703728
43831,84,Oman,OMA,1289,10705020,0,AFC,2019-10-24,-10703731
44005,85,Uzbekistan,UZB,1287,10705020,0,AFC,2019-10-24,-10703733
43937,86,Belarus,BLR,1286,10705020,0,UEFA,2019-10-24,-10703734
43858,87,Gabon,GAB,1285,10705020,0,CAF,2019-10-24,-10703735
43908,88,Haiti,HAI,1281,10705020,0,CONCACAF,2019-10-24,-10703739
43984,89,Israel,ISR,1278,10705020,0,UEFA,2019-10-24,-10703742
43947,90,Georgia,GEO,1274,10705020,0,UEFA,2019-10-24,-10703746
43825,91,Lebanon,LBN,1266,10705020,0,AFC,2019-10-24,-10703754
43853,92,Congo,CGO,1265,10705020,0,CAF,2019-10-24,-10703755
43939,93,Cyprus,CYP,1263,10705020,0,UEFA,2019-10-24,-10703757
43999,94,Kyrgyz Republic,KGZ,1252,10705020,0,AFC,2019-10-24,-10703768
43867,95,Madagascar,MAD,1249,10705020,0,CAF,2019-10-24,-10703771
43958,96,Luxembourg,LUX,1248,10705020,0,UEFA,2019-10-24,-10703772
43841,97,Vietnam,VIE,1245,10705020,0,AFC,2019-10-24,-10703775
43820,98,Jordan,JOR,1236,10705020,0,AFC,2019-10-24,-10703784
43933,99,Armenia,ARM,1226,10705020,0,UEFA,2019-10-24,-10703794
43989,99,Palestine,PLE,1226,10705020,0,AFC,2019-10-24,-10703794
43808,101,Bahrain,BHR,1220,10705020,0,AFC,2019-10-24,-10703800
43920,102,Trinidad and Tobago,TRI,1213,10705020,0,CONCACAF,2019-10-24,-10703807
43866,103,Libya,LBY,1211,10705020,0,CAF,2019-10-24,-10703809
43943,104,Estonia,EST,1209,10705020,0,UEFA,2019-10-24,-10703811
43870,105,Mauritania,MTN,1205,10705020,0,CAF,2019-10-24,-10703815
43815,106,India,IND,1201,10705020,0,AFC,2019-10-24,-10703819
43875,107,Niger,NIG,1198,10705020,0,CAF,2019-10-24,-10703822
43863,108,Kenya,KEN,1195,10705020,0,CAF,2019-10-24,-10703825
43839,109,Thailand,THA,1193,10705020,0,AFC,2019-10-24,-10703827
43944,110,Faroe Islands,FRO,1192,10705020,0,UEFA,2019-10-24,-10703828
43994,111,Azerbaijan,AZE,1189,10705020,0,UEFA,2019-10-24,-10703831
43851,112,Central African Republic,CTA,1186,10705020,0,CAF,2019-10-24,-10703834
43873,112,Mozambique,MOZ,1186,10705020,0,CAF,2019-10-24,-10703834
1942535,114,Kosovo,KVX,1184,10705020,0,UEFA,2019-10-24,-10703836
43821,115,Korea DPR,PRK,1182,10705020,0,AFC,2019-10-24,-10703838
44003,116,Tajikistan,TJK,1168,10705020,0,AFC,2019-10-24,-10703852
43881,117,Sierra Leone,SLE,1167,10705020,0,CAF,2019-10-24,-10703853
43892,117,Zimbabwe,ZIM,1167,10705020,0,CAF,2019-10-24,-10703853
43874,119,Namibia,NAM,1163,10705020,0,CAF,2019-10-24,-10703857
43844,120,Angola,ANG,1161,10705020,0,CAF,2019-10-24,-10703859
43978,121,New Zealand,NZL,1157,10705020,0,OFC,2019-10-24,-10703863
44027,121,Kazakhstan,KAZ,1157,10705020,0,UEFA,2019-10-24,-10703863
43862,123,Guinea-Bissau,GNB,1155,10705020,0,CAF,2019-10-24,-10703865
43868,124,Malawi,MWI,1140,10705020,0,CAF,2019-10-24,-10703880
43887,124,Togo,TOG,1140,10705020,0,CAF,2019-10-24,-10703880
43833,126,Philippines,PHI,1134,10705020,0,AFC,2019-10-24,-10703886
1882218,127,Antigua and Barbuda,ATG,1129,10705020,0,CONCACAF,2019-10-24,-10703891
43884,128,Sudan,SDN,1111,10705020,0,CAF,2019-10-24,-10703909
43877,129,Rwanda,RWA,1106,10705020,0,CAF,2019-10-24,-10703914
43813,130,Chinese Taipei,TPE,1102,10705020,0,AFC,2019-10-24,-10703918
43906,131,Guatemala,GUA,1094,10705020,0,CONCACAF,2019-10-24,-10703926
43957,132,Lithuania,LTU,1086,10705020,0,UEFA,2019-10-24,-10703934
44004,133,Turkmenistan,TKM,1084,10705020,0,AFC,2019-10-24,-10703936
43886,133,Tanzania,TAN,1084,10705020,0,CAF,2019-10-24,-10703936
43856,135,Equatorial Guinea,EQG,1083,10705020,0,CAF,2019-10-24,-10703937
20001,136,Andorra,AND,1080,10705020,0,UEFA,2019-10-24,-10703940
43913,137,Nicaragua,NCA,1077,10705020,0,CONCACAF,2019-10-24,-10703943
43864,138,Lesotho,LES,1076,10705020,0,CAF,2019-10-24,-10703944
43916,138,St. Kitts and Nevis,SKN,1076,10705020,0,CONCACAF,2019-10-24,-10703944
43980,140,Solomon Islands,SOL,1073,10705020,0,OFC,2019-10-24,-10703947
43842,141,Yemen,YEM,1070,10705020,0,AFC,2019-10-24,-10703950
1896913,142,Comoros,COM,1067,10705020,0,CAF,2019-10-24,-10703953
43955,143,Latvia,LVA,1063,10705020,0,UEFA,2019-10-24,-10703957
43848,143,Burundi,BDI,1063,10705020,0,CAF,2019-10-24,-10703957
43814,145,Hong Kong,HKG,1061,10705020,0,AFC,2019-10-24,-10703959
43846,146,Botswana,BOT,1057,10705020,0,CAF,2019-10-24,-10703963
43829,147,Myanmar,MYA,1055,10705020,0,AFC,2019-10-24,-10703965
43885,147,Eswatini,SWZ,1055,10705020,0,CAF,2019-10-24,-10703965
20000,149,Afghanistan,AFG,1054,10705020,0,AFC,2019-10-24,-10703966
43919,150,Suriname,SUR,1052,10705020,0,CONCACAF,2019-10-24,-10703968
43857,151,Ethiopia,ETH,1049,10705020,0,CAF,2019-10-24,-10703971
43865,152,Liberia,LBR,1047,10705020,0,CAF,2019-10-24,-10703973
43903,153,Dominican Republic,DOM,1040,10705020,0,CONCACAF,2019-10-24,-10703980
43828,154,Maldives,MDV,1039,10705020,0,AFC,2019-10-24,-10703981
20010,155,New Caledonia,NCL,1035,10705020,0,OFC,2019-10-24,-10703985
43823,156,Kuwait,KUW,1034,10705020,0,AFC,2019-10-24,-10703986
43981,157,Tahiti,TAH,1014,10705020,0,OFC,2019-10-24,-10704006
43827,158,Malaysia,MAS,1009,10705020,0,AFC,2019-10-24,-10704011
43836,159,Singapore,SIN,1008,10705020,0,AFC,2019-10-24,-10704012
43896,160,Barbados,BRB,1001,10705020,0,CONCACAF,2019-10-24,-10704019
43905,160,Grenada,GRN,1001,10705020,0,CONCACAF,2019-10-24,-10704019
1935341,162,South Sudan,SSD,997,10705020,0,CAF,2019-10-24,-10704023
43977,163,Fiji,FIJ,996,10705020,0,OFC,2019-10-24,-10704024
43982,163,Vanuatu,VAN,996,10705020,0,OFC,2019-10-24,-10704024
43979,165,Papua New Guinea,PNG,991,10705020,0,OFC,2019-10-24,-10704029
43859,166,Gambia,GAM,990,10705020,0,CAF,2019-10-24,-10704030
43830,167,Nepal,NEP,988,10705020,0,AFC,2019-10-24,-10704032
44011,168,Belize,BLZ,986,10705020,0,CONCACAF,2019-10-24,-10704034
43918,168,St. Vincent and the Grenadines,VIN,986,10705020,0,CONCACAF,2019-10-24,-10704034
43898,168,Bermuda,BER,986,10705020,0,CONCACAF,2019-10-24,-10704034
43816,171,Indonesia,IDN,975,10705020,0,AFC,2019-10-24,-10704045
44009,172,Cambodia,CAM,974,10705020,0,AFC,2019-10-24,-10704046
43871,173,Mauritius,MRI,970,10705020,0,CAF,2019-10-24,-10704050
43907,174,Guyana,GUY,969,10705020,0,CONCACAF,2019-10-24,-10704051
44036,175,Moldova,MDA,963,10705020,0,UEFA,2019-10-24,-10704057
43852,176,Chad,CHA,955,10705020,0,CAF,2019-10-24,-10704065
43917,177,St. Lucia,LCA,953,10705020,0,CONCACAF,2019-10-24,-10704067
43915,178,Puerto Rico,PUR,940,10705020,0,CONCACAF,2019-10-24,-10704080
43902,179,Cuba,CUB,938,10705020,0,CONCACAF,2019-10-24,-10704082
43878,180,Sao Tome e Principe,STP,934,10705020,0,CAF,2019-10-24,-10704086
43956,181,Liechtenstein,LIE,933,10705020,0,UEFA,2019-10-24,-10704087
43959,182,Malta,MLT,924,10705020,0,UEFA,2019-10-24,-10704096
43826,183,Macau,MAC,922,10705020,0,AFC,2019-10-24,-10704098
43809,184,Bangladesh,BAN,920,10705020,0,AFC,2019-10-24,-10704100
43996,185,Djibouti,DJI,916,10705020,0,CAF,2019-10-24,-10704104
20008,186,Mongolia,MNG,915,10705020,0,AFC,2019-10-24,-10704105
43997,187,Dominica,DMA,913,10705020,0,CONCACAF,2019-10-24,-10704107
43824,188,Laos,LAO,912,10705020,0,AFC,2019-10-24,-10704108
20003,189,Bhutan,BHU,911,10705020,0,AFC,2019-10-24,-10704109
20009,189,Montserrat,MSR,911,10705020,0,CONCACAF,2019-10-24,-10704109
43810,191,Brunei Darussalam,BRU,904,10705020,0,AFC,2019-10-24,-10704116
20012,192,American Samoa,ASA,900,10705020,0,OFC,2019-10-24,-10704120
43900,193,Cayman Islands,CAY,895,10705020,0,CONCACAF,2019-10-24,-10704125
1882637,194,Samoa,SAM,894,10705020,0,OFC,2019-10-24,-10704126
43894,195,Aruba,ARU,885,10705020,0,CONCACAF,2019-10-24,-10704135
20007,196,Guam,GUM,882,10705020,0,AFC,2019-10-24,-10704138
1941613,196,Gibraltar,GIB,882,10705020,0,UEFA,2019-10-24,-10704138
43882,198,Somalia,SOM,879,10705020,0,CAF,2019-10-24,-10704141
1890334,198,Timor-Leste,TLS,879,10705020,0,AFC,2019-10-24,-10704141
43880,200,Seychelles,SEY,868,10705020,0,CAF,2019-10-24,-10704152
43895,201,Bahamas,BAH,867,10705020,0,CONCACAF,2019-10-24,-10704153
43832,201,Pakistan,PAK,867,10705020,0,AFC,2019-10-24,-10704153
43837,203,Sri Lanka,SRI,864,10705020,0,AFC,2019-10-24,-10704156
44039,204,Tonga,TGA,862,10705020,0,OFC,2019-10-24,-10704158
20011,204,Turks and Caicos Islands,TCA,862,10705020,0,CONCACAF,2019-10-24,-10704158
20006,206,Eritrea,ERI,856,10705020,0,CAF,2019-10-24,-10704164
1881967,206,US Virgin Islands,VIR,856,10705020,0,CONCACAF,2019-10-24,-10704164
20004,208,British Virgin Islands,VGB,854,10705020,0,CONCACAF,2019-10-24,-10704166
43966,209,San Marino,SMR,831,10705020,0,UEFA,2019-10-24,-10704189
20002,209,Anguilla,AIA,831,10705020,0,CONCACAF,2019-10-24,-10704189
43935,1,Belgium,BEL,1752,10704060,0,UEFA,2019-09-19,-10702308
43946,2,France,FRA,1725,10704060,0,UEFA,2019-09-19,-10702335
43924,3,Brazil,BRA,1719,10704060,0,CONMEBOL,2019-09-19,-10702341
43942,4,England,ENG,1662,10704060,0,UEFA,2019-09-19,-10702398
43963,5,Portugal,POR,1643,10704060,0,UEFA,2019-09-19,-10702417
43930,6,Uruguay,URU,1639,10704060,0,CONMEBOL,2019-09-19,-10702421
43969,7,Spain,ESP,1631,10704060,0,UEFA,2019-09-19,-10702429
43938,8,Croatia,CRO,1625,10704060,0,UEFA,2019-09-19,-10702435
43926,9,Colombia,COL,1622,10704060,0,CONMEBOL,2019-09-19,-10702438
43922,10,Argentina,ARG,1614,10704060,0,CONMEBOL,2019-09-19,-10702446
43971,11,Switzerland,SUI,1604,10704060,0,UEFA,2019-09-19,-10702456
43911,12,Mexico,MEX,1603,10704060,0,CONCACAF,2019-09-19,-10702457
43960,13,Netherlands,NED,1586,10704060,0,UEFA,2019-09-19,-10702474
43941,14,Denmark,DEN,1584,10704060,0,UEFA,2019-09-19,-10702476
43954,15,Italy,ITA,1583,10704060,0,UEFA,2019-09-19,-10702477
43948,16,Germany,GER,1580,10704060,0,UEFA,2019-09-19,-10702480
43925,17,Chile,CHI,1576,10704060,0,CONMEBOL,2019-09-19,-10702484
43970,18,Sweden,SWE,1560,10704060,0,UEFA,2019-09-19,-10702500
43929,19,Peru,PER,1551,10704060,0,CONMEBOL,2019-09-19,-10702509
43879,20,Senegal,SEN,1546,10704060,0,CAF,2019-09-19,-10702514
43921,21,USA,USA,1545,10704060,0,CONCACAF,2019-09-19,-10702515
43962,22,Poland,POL,1532,10704060,0,UEFA,2019-09-19,-10702528
43974,23,Wales,WAL,1522,10704060,0,UEFA,2019-09-19,-10702538
43817,23,IR Iran,IRN,1522,10704060,0,AFC,2019-09-19,-10702538
43973,25,Ukraine,UKR,1516,10704060,0,UEFA,2019-09-19,-10702544
43931,26,Venezuela,VEN,1506,10704060,0,CONMEBOL,2019-09-19,-10702554
43934,27,Austria,AUT,1503,10704060,0,UEFA,2019-09-19,-10702557
43953,28,Republic of Ireland,IRL,1496,10704060,0,UEFA,2019-09-19,-10702564
43888,29,Tunisia,TUN,1493,10704060,0,CAF,2019-09-19,-10702567
44002,29,Slovakia,SVK,1493,10704060,0,UEFA,2019-09-19,-10702567
43964,31,Romania,ROU,1490,10704060,0,UEFA,2019-09-19,-10702570
43819,31,Japan,JPN,1490,10704060,0,AFC,2019-09-19,-10702570
43952,33,Northern Ireland,NIR,1488,10704060,0,UEFA,2019-09-19,-10702572
43876,34,Nigeria,NGA,1482,10704060,0,CAF,2019-09-19,-10702578
1902465,35,Serbia,SRB,1476,10704060,0,UEFA,2019-09-19,-10702584
43972,36,Turkey,TUR,1475,10704060,0,UEFA,2019-09-19,-10702585
43822,37,Korea Republic,KOR,1470,10704060,0,AFC,2019-09-19,-10702590
43843,38,Algeria,ALG,1466,10704060,0,CAF,2019-09-19,-10702594
43872,39,Morocco,MAR,1463,10704060,0,CAF,2019-09-19,-10702597
43928,40,Paraguay,PAR,1462,10704060,0,CONMEBOL,2019-09-19,-10702598
43951,41,Iceland,ISL,1461,10704060,0,UEFA,2019-09-19,-10702599
43965,42,Russia,RUS,1455,10704060,0,UEFA,2019-09-19,-10702605
43901,43,Costa Rica,CRC,1442,10704060,0,CONCACAF,2019-09-19,-10702618
43995,44,Czech Republic,CZE,1441,10704060,0,UEFA,2019-09-19,-10702619
43976,44,Australia,AUS,1441,10704060,0,AFC,2019-09-19,-10702619
44037,46,Bosnia and Herzegovina,BIH,1438,10704060,0,UEFA,2019-09-19,-10702622
43961,47,Norway,NOR,1435,10704060,0,UEFA,2019-09-19,-10702625
43910,47,Jamaica,JAM,1435,10704060,0,CONCACAF,2019-09-19,-10702625
43855,49,Egypt,EGY,1431,10704060,0,CAF,2019-09-19,-10702629
43950,50,Hungary,HUN,1430,10704060,0,UEFA,2019-09-19,-10702630
43860,51,Ghana,GHA,1429,10704060,0,CAF,2019-09-19,-10702631
43967,52,Scotland,SCO,1415,10704060,0,UEFA,2019-09-19,-10702645
43849,53,Cameroon,CMR,1409,10704060,0,CAF,2019-09-19,-10702651
43945,54,Finland,FIN,1398,10704060,0,UEFA,2019-09-19,-10702662
20014,55,Congo DR,COD,1395,10704060,0,CAF,2019-09-19,-10702665
43854,56,Côte d'Ivoire,CIV,1394,10704060,0,CAF,2019-09-19,-10702666
43869,57,Mali,MLI,1391,10704060,0,CAF,2019-09-19,-10702669
43968,58,Slovenia,SVN,1390,10704060,0,UEFA,2019-09-19,-10702670
999,59,Montenegro,MNE,1389,10704060,0,UEFA,2019-09-19,-10702671
43949,60,Greece,GRE,1382,10704060,0,UEFA,2019-09-19,-10702678
43847,61,Burkina Faso,BFA,1381,10704060,0,CAF,2019-09-19,-10702679
43936,62,Bulgaria,BUL,1377,10704060,0,UEFA,2019-09-19,-10702683
43834,62,Qatar,QAT,1377,10704060,0,AFC,2019-09-19,-10702683
43932,64,Albania,ALB,1372,10704060,0,UEFA,2019-09-19,-10702688
43927,65,Ecuador,ECU,1370,10704060,0,CONMEBOL,2019-09-19,-10702690
43840,66,United Arab Emirates,UAE,1365,10704060,0,AFC,2019-09-19,-10702695
43909,67,Honduras,HON,1359,10704060,0,CONCACAF,2019-09-19,-10702701
43812,68,China PR,CHN,1340,10704060,0,AFC,2019-09-19,-10702720
44000,69,North Macedonia,MKD,1339,10704060,0,UEFA,2019-09-19,-10702721
43835,70,Saudi Arabia,KSA,1336,10704060,0,AFC,2019-09-19,-10702724
43883,71,South Africa,RSA,1331,10704060,0,CAF,2019-09-19,-10702729
43923,72,Bolivia,BOL,1327,10704060,0,CONMEBOL,2019-09-19,-10702733
43904,72,El Salvador,SLV,1327,10704060,0,CONCACAF,2019-09-19,-10702733
43861,74,Guinea,GUI,1325,10704060,0,CAF,2019-09-19,-10702735
43899,75,Canada,CAN,1322,10704060,0,CONCACAF,2019-09-19,-10702738
1930407,76,Curacao,CUW,1320,10704060,0,CONCACAF,2019-09-19,-10702740
43914,77,Panama,PAN,1316,10704060,0,CONCACAF,2019-09-19,-10702744
43850,78,Cape Verde Islands,CPV,1315,10704060,0,CAF,2019-09-19,-10702745
43818,79,Iraq,IRQ,1314,10704060,0,AFC,2019-09-19,-10702746
43889,80,Uganda,UGA,1305,10704060,0,CAF,2019-09-19,-10702755
43891,81,Zambia,ZAM,1299,10704060,0,CAF,2019-09-19,-10702761
43937,82,Belarus,BLR,1294,10704060,0,UEFA,2019-09-19,-10702766
43845,83,Benin,BEN,1293,10704060,0,CAF,2019-09-19,-10702767
43831,84,Oman,OMA,1292,10704060,0,AFC,2019-09-19,-10702768
43838,85,Syria,SYR,1280,10704060,0,AFC,2019-09-19,-10702780
43984,86,Israel,ISR,1277,10704060,0,UEFA,2019-09-19,-10702783
43908,86,Haiti,HAI,1277,10704060,0,CONCACAF,2019-09-19,-10702783
44005,88,Uzbekistan,UZB,1272,10704060,0,AFC,2019-09-19,-10702788
43858,88,Gabon,GAB,1272,10704060,0,CAF,2019-09-19,-10702788
43853,90,Congo,CGO,1265,10704060,0,CAF,2019-09-19,-10702795
43947,91,Georgia,GEO,1264,10704060,0,UEFA,2019-09-19,-10702796
43939,92,Cyprus,CYP,1261,10704060,0,UEFA,2019-09-19,-10702799
43958,93,Luxembourg,LUX,1255,10704060,0,UEFA,2019-09-19,-10702805
43825,94,Lebanon,LBN,1253,10704060,0,AFC,2019-09-19,-10702807
43867,95,Madagascar,MAD,1249,10704060,0,CAF,2019-09-19,-10702811
43933,96,Armenia,ARM,1242,10704060,0,UEFA,2019-09-19,-10702818
43999,97,Kyrgyz Republic,KGZ,1237,10704060,0,AFC,2019-09-19,-10702823
43820,98,Jordan,JOR,1235,10704060,0,AFC,2019-09-19,-10702825
43841,99,Vietnam,VIE,1231,10704060,0,AFC,2019-09-19,-10702829
43920,100,Trinidad and Tobago,TRI,1226,10704060,0,CONCACAF,2019-09-19,-10702834
43989,101,Palestine,PLE,1223,10704060,0,AFC,2019-09-19,-10702837
43943,102,Estonia,EST,1212,10704060,0,UEFA,2019-09-19,-10702848
43866,102,Libya,LBY,1212,10704060,0,CAF,2019-09-19,-10702848
43815,104,India,IND,1207,10704060,0,AFC,2019-09-19,-10702853
43870,105,Mauritania,MTN,1206,10704060,0,CAF,2019-09-19,-10702854
43808,105,Bahrain,BHR,1206,10704060,0,AFC,2019-09-19,-10702854
43875,107,Niger,NIG,1201,10704060,0,CAF,2019-09-19,-10702859
43863,107,Kenya,KEN,1201,10704060,0,CAF,2019-09-19,-10702859
43944,109,Faroe Islands,FRO,1191,10704060,0,UEFA,2019-09-19,-10702869
43994,109,Azerbaijan,AZE,1191,10704060,0,UEFA,2019-09-19,-10702869
43851,111,Central African Republic,CTA,1184,10704060,0,CAF,2019-09-19,-10702876
43873,112,Mozambique,MOZ,1181,10704060,0,CAF,2019-09-19,-10702879
43821,113,Korea DPR,PRK,1176,10704060,0,AFC,2019-09-19,-10702884
43839,114,Thailand,THA,1175,10704060,0,AFC,2019-09-19,-10702885
44003,115,Tajikistan,TJK,1174,10704060,0,AFC,2019-09-19,-10702886
44027,116,Kazakhstan,KAZ,1169,10704060,0,UEFA,2019-09-19,-10702891
43881,117,Sierra Leone,SLE,1167,10704060,0,CAF,2019-09-19,-10702893
43892,118,Zimbabwe,ZIM,1165,10704060,0,CAF,2019-09-19,-10702895
1942535,119,Kosovo,KVX,1164,10704060,0,UEFA,2019-09-19,-10702896
43874,120,Namibia,NAM,1162,10704060,0,CAF,2019-09-19,-10702898
43844,121,Angola,ANG,1161,10704060,0,CAF,2019-09-19,-10702899
43978,122,New Zealand,NZL,1157,10704060,0,OFC,2019-09-19,-10702903
43862,123,Guinea-Bissau,GNB,1155,10704060,0,CAF,2019-09-19,-10702905
43887,124,Togo,TOG,1140,10704060,0,CAF,2019-09-19,-10702920
43868,124,Malawi,MWI,1140,10704060,0,CAF,2019-09-19,-10702920
1882218,126,Antigua and Barbuda,ATG,1137,10704060,0,CONCACAF,2019-09-19,-10702923
43833,127,Philippines,PHI,1130,10704060,0,AFC,2019-09-19,-10702930
43884,128,Sudan,SDN,1111,10704060,0,CAF,2019-09-19,-10702949
43813,129,Chinese Taipei,TPE,1107,10704060,0,AFC,2019-09-19,-10702953
43877,130,Rwanda,RWA,1104,10704060,0,CAF,2019-09-19,-10702956
44004,131,Turkmenistan,TKM,1094,10704060,0,AFC,2019-09-19,-10702966
43957,131,Lithuania,LTU,1094,10704060,0,UEFA,2019-09-19,-10702966
